"wifiradar","device","signal","timestamp","networks"
"C0A0BBED842E","F8D11121AE96",-71,"2014-12-19 12:11:30","TP1"
"C0A0BBED842E","F8D11121AE96",-73,"2014-12-19 12:11:16","TP1"
"C0A0BBED842E","F8D11121AE96",-73,"2014-12-19 12:11:12","TP1"
"C0A0BBED842E","F8D11121AE96",-71,"2014-12-19 12:10:58","TP1"
"C0A0BBED842E","F8D11121AE96",-70,"2014-12-19 12:10:50","TP1"
"C0A0BBED842E","F8D11121AE96",-73,"2014-12-19 12:10:39","TP1"
"C0A0BBED842E","25D3E11750",-61,"2014-12-19 12:10:17","Alice-56283694"
"C0A0BBED842E","F8D11121AE96",-71,"2014-12-19 12:10:01","TP1"
"C0A0BBED842E","F8D11121AE96",-70,"2014-12-19 12:09:53","TP1"
"C0A0BBED842E","4C8D79A35362",-54,"2014-12-19 12:09:51","tasid-netgear"
"C0A0BBED842E","4C8D79A35362",-46,"2014-12-19 12:09:38","tasid-netgear"
"C0A0BBED842E","25D3E11750",-58,"2014-12-19 12:09:16","Alice-56283694"
"C0A0BBED842E","F8D11121AE96",-73,"2014-12-19 12:09:15","TP1"
"C0A0BBED842E","F8D11121AE96",-73,"2014-12-19 12:09:08","TP1"
"C0A0BBED842E","44D8840376BA",-70,"2014-12-19 12:09:05","STELLA"
"C0A0BBED842E","90004E7206E5",-71,"2014-12-19 12:08:25","InfostradaWiFi-54a92c"
"C0A0BBED842E","4C8D79A35362",-52,"2014-12-19 12:08:15","tasid-netgear"
"C0A0BBED842E","25D3E11750",-62,"2014-12-19 12:08:05","Alice-56283694"
"C0A0BBED842E","4C8D79A35362",-48,"2014-12-19 12:07:31","tasid-netgear"
"C0A0BBED842E","25D3E11750",-61,"2014-12-19 12:07:05","Alice-56283694"
"C0A0BBED842E","58A2B5EAFB4A",-61,"2014-12-19 12:07:02","WIFIMECE01,marialuisa"
"C0A0BBED842E","4C8D79A35362",-45,"2014-12-19 12:06:48","tasid-netgear"
"C0A0BBED842E","25D3E11750",-64,"2014-12-19 12:06:03","Alice-56283694"
"C0A0BBED842E","4C8D79A35362",-47,"2014-12-19 12:05:54","tasid-netgear"
"C0A0BBED842E","4C8D79A35362",-46,"2014-12-19 12:05:14","tasid-netgear"
"C0A0BBED842E","25D3E11750",-66,"2014-12-19 12:05:00","Alice-56283694"
"C0A0BBED842E","A4C36177B923",-67,"2014-12-19 12:04:46","u-hopper-cisco"
"C0A0BBED842E","4C8D79A35362",-46,"2014-12-19 12:04:32","tasid-netgear"
"C0A0BBED842E","F8D11121AE96",-71,"2014-12-19 12:04:12","TP1"
"C0A0BBED842E","6C4008957EE2",-60,"2014-12-19 12:04:04","Adagio Teas 2,MacBook Pro di Carlo ,mPhone"
"C0A0BBED842E","25D3E11750",-65,"2014-12-19 12:03:58","Alice-56283694"
"C0A0BBED842E","F8D11121AE96",-73,"2014-12-19 12:03:56","TP1"
"C0A0BBED842E","A4C36177B923",-57,"2014-12-19 12:03:50","u-hopper-cisco"
"C0A0BBED842E","4C8D79A35362",-47,"2014-12-19 12:03:46","tasid-netgear"
"C0A0BBED842E","A4C36177B923",-66,"2014-12-19 12:03:46","u-hopper-cisco"
"C0A0BBED842E","F8D11121AE96",-68,"2014-12-19 12:03:40","TP1"
"C0A0BBED842E","F8D11121AE96",-73,"2014-12-19 12:03:26","TP1"
"C0A0BBED842E","4C8D79A35362",-43,"2014-12-19 12:02:56","tasid-netgear"
"C0A0BBED842E","25D3E11750",-65,"2014-12-19 12:02:55","Alice-56283694"
"C0A0BBED842E","90004E7206E5",-72,"2014-12-19 12:02:55","InfostradaWiFi-54a92c"
"C0A0BBED842E","4C8D79A35362",-52,"2014-12-19 12:02:13","tasid-netgear"
"C0A0BBED842E","25D3E11750",-61,"2014-12-19 12:01:55","Alice-56283694"
"C0A0BBED842E","F8D11121AE96",-70,"2014-12-19 12:01:51","TP1"
"C0A0BBED842E","90004E7206E5",-69,"2014-12-19 12:01:50","InfostradaWiFi-54a92c"
"C0A0BBED842E","F8D11121AE96",-72,"2014-12-19 12:01:46","TP1"
"C0A0BBED842E","F8D11121AE96",-71,"2014-12-19 12:01:35","TP1"
"C0A0BBED842E","F8D11121AE96",-73,"2014-12-19 12:01:26","TP1"
"C0A0BBED842E","F8D11121AE96",-72,"2014-12-19 12:01:19","TP1"
"C0A0BBED842E","F8D11121AE96",-71,"2014-12-19 12:01:03","TP1"
"C0A0BBED842E","25D3E11750",-57,"2014-12-19 12:00:53","Alice-56283694"
"C0A0BBED842E","F8D11121AE96",-73,"2014-12-19 12:00:50","TP1"
"C0A0BBED842E","4C8D79A35362",-51,"2014-12-19 12:00:47","tasid-netgear"
"C0A0BBED842E","90004E7206E5",-68,"2014-12-19 12:00:46","InfostradaWiFi-54a92c"
"C0A0BBED842E","F8D11121AE96",-71,"2014-12-19 12:00:31","TP1"
"C0A0BBED842E","F8D11121AE96",-70,"2014-12-19 12:00:29","TP1"
"C0A0BBED842E","F8D11121AE96",-73,"2014-12-19 12:00:17","TP1"
"C0A0BBED842E","F8D11121AE96",-72,"2014-12-19 12:00:11","TP1"
"C0A0BBED842E","25D3E11750",-59,"2014-12-19 11:59:50","Alice-56283694"
"C0A0BBED842E","F8D11121AE96",-71,"2014-12-19 11:59:43","TP1"
"C0A0BBED842E","F8D11121AE96",-71,"2014-12-19 11:59:38","TP1"
"C0A0BBED842E","F8D11121AE96",-74,"2014-12-19 11:59:28","TP1"
"C0A0BBED842E","F8D11121AE96",-72,"2014-12-19 11:59:12","TP1"
"C0A0BBED842E","F8D11121AE96",-71,"2014-12-19 11:59:08","TP1"
"C0A0BBED842E","F8D11121AE96",-70,"2014-12-19 11:58:50","TP1"
"C0A0BBED842E","25D3E11750",-59,"2014-12-19 11:58:41","Alice-56283694"
"C0A0BBED842E","F8D11121AE96",-75,"2014-12-19 11:58:36","TP1"
"C0A0BBED842E","4C8D79A35362",-49,"2014-12-19 11:57:51","tasid-netgear"
"C0A0BBED842E","25D3E11750",-60,"2014-12-19 11:57:37","Alice-56283694"
"C0A0BBED842E","A4C36177B923",-49,"2014-12-19 11:57:15","u-hopper-cisco"
"C0A0BBED842E","F8D11121AE96",-70,"2014-12-19 11:57:15","TP1"
"C0A0BBED842E","4C8D79A35362",-52,"2014-12-19 11:57:08","tasid-netgear"
"C0A0BBED842E","F8D11121AE96",-72,"2014-12-19 11:57:06","TP1"
"C0A0BBED842E","F8D11121AE96",-72,"2014-12-19 11:56:59","TP1"
